Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,03.12.2019 20:14:33,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎12‎-‎03T16:09:27.492299600Z на ‎2019‎-‎12‎-‎03T17:14:33.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,03.12.2019 19:09:27,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,03.12.2019 20:14:34,BROWSER,8033,Отсутствует,"Драйвер браузера сети инициировал выборы в сети \Device\NetBT_Tcpip_{1011BB7B-13C7-42AE-A8B9-0F5CFD53CCD6}, так как был остановлен основной браузер сети."
Сведения,03.12.2019 19:09:25,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,03.12.2019 19:09:25,BROWSER,8033,Отсутствует,"Драйвер браузера сети инициировал выборы в сети \Device\NetBT_Tcpip_{B3EC0A83-6DF2-4970-8219-EF7ED329EF6D}, так как был остановлен основной браузер сети."
Сведения,03.12.2019 18:53:04,BROWSER,8032,Отсутствует,Слишком много неудачных попыток службы браузера сети загрузить резервный список с помощью транспорта \Device\NetBT_Tcpip_{1011BB7B-13C7-42AE-A8B9-0F5CFD53CCD6}. Резервный браузер сети остановлен.
Сведения,03.12.2019 18:50:31,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,03.12.2019 18:50:09,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎12‎-‎03T15:49:47.000709800Z
Время выхода из спящего режима: ‎2019‎-‎12‎-‎03T15:50:09.339933200Z

Источник выхода: Кнопка питания"
Предупреждение,03.12.2019 18:50:09,BTHUSB,34,Отсутствует,"Локальный адаптер не поддерживает важное состояние контроллера энергосбережения для поддержки режима периферийного устройства. Минимально необходимая маска поддерживаемого состояния — 0x2491f7fffff, получено 0xffffffff. Функция роли периферийного устройства низкого энергопотребления не будет доступна."
Сведения,03.12.2019 18:50:09,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,03.12.2019 18:50:07,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,03.12.2019 18:50:07,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 2, FullResume: 468, AverageResume: 469"
Сведения,03.12.2019 18:50:07,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎12‎-‎03T15:49:54.044357000Z на ‎2019‎-‎12‎-‎03T15:50:07.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,03.12.2019 18:49:54,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,03.12.2019 18:49:52,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,03.12.2019 18:49:52,BROWSER,8033,Отсутствует,"Драйвер браузера сети инициировал выборы в сети \Device\NetBT_Tcpip_{B3EC0A83-6DF2-4970-8219-EF7ED329EF6D}, так как был остановлен основной браузер сети."
Предупреждение,03.12.2019 18:49:48,BROWSER,8021,Отсутствует,"Служба браузера не смогла загрузить список серверов с основного браузера \\BOSS сети \Device\NetBT_Tcpip_{1011BB7B-13C7-42AE-A8B9-0F5CFD53CCD6}.
 
 Основной браузер: \\BOSS
 Сеть: \Device\NetBT_Tcpip_{1011BB7B-13C7-42AE-A8B9-0F5CFD53CCD6}
 
 Это событие может быть вызвано временной потерей сетевого подключения. При повторном получении этого сообщения проверьте, что сервер по-прежнему подключен к сети. Код возврата находится в поле ""Данные""."
